주성분코드,ATC코드,주성분명
185703ATB,C09CA01,losartan
188001ATB,C08CA11,manidipine
188002ATB,C08CA11,manidipine
196102ATB,C02DC01,minoxidil
211301ATB,C09AA04,perindopril
211302ATB,C09AA04,perindopril
222401ATB,C09AA05,ramipril
222402ATB,C09AA05,ramipril
222404ATB,C09AA05,ramipril
247101ATB,C09CA03,valsartan
247102ATB,C09CA03,valsartan
247103ATB,C09CA03,valsartan
247104ATB,C09CA03,valsartan
262100ATB,C07CB03,atenolol and other diuretics
262500ATB,C09DA01,losartan and diuretics
378900ATB,C09DA01,losartan and diuretics
486900ATB,C09DA01,losartan and diuretics
356400ATB,C09DA03,valsartan and diuretics
442600ATB,C09DA03,valsartan and diuretics
378801ATB,C09CA07,telmisartan
378802ATB,C09CA07,telmisartan
378803ATB,C09CA07,telmisartan
385700ATB,C09DA04,irbesartan and diuretics
385800ATB,C09DA04,irbesartan and diuretics
423700ATB,C09DA06,candesartan and diuretics
429201ATB,C09CA02,eprosartan
443200ATB,C09DA07,telmisartan and diuretics
443300ATB,C09DA07,telmisartan and diuretics
502600ATB,C09DA07,telmisartan and diuretics
447100ATB,C09BB05,ramipril and felodipine
447200ATB,C09BB05,ramipril and felodipine
459801ACH,C08CA01,amlodipine
459801ATB,C08CA01,amlodipine
459802ACH,C08CA01,amlodipine
459901ATB,C08CA01,amlodipine
459902ATB,C08CA01,amlodipine
460500ATB,C09DA02,eprosartan and diuretics
464601ATB,C08CA01,amlodipine
468501ATB,C09CA08,olmesartan medoxomil
468502ATB,C09CA08,olmesartan medoxomil
468503ATB,C09CA08,olmesartan medoxomil
469800ATB,C07BB07,bisoprolol and thiazides
469900ATB,C07BB07,bisoprolol and thiazides
470000ATB,C07BB07,bisoprolol and thiazides
470801ATB,C08CA01,amlodipine
470802ATB,C08CA01,amlodipine
476201ATB,C08CA01,amlodipine
479701ATB,C08CA01,amlodipine
483101ATB,C07AB11,s-atenolol
483102ATB,C07AB11,s-atenolol
483201ATB,C08CA17,levamlodipine
483202ATB,C08CA17,levamlodipine
485201ATB,C02KX01,bosentan
485202ATB,C02KX01,bosentan
486501ATB,C08CA17,levamlodipine
486502ATB,C08CA17,levamlodipine
486503ATB,C08CA17,levamlodipine
489501ATB,C07AB12,nebivolol
489502ATB,C07AB12,nebivolol
489503ATB,C07AB12,nebivolol
492800ATB,C09DB01,valsartan and amlodipine
492900ATB,C09DB01,valsartan and amlodipine
495800ATB,C09DB01,valsartan and amlodipine
500500ATB,C09DB02,olmesartan medoxomil and amlodipine
582200ATB,C09DB02,olmesartan medoxomil and amlodipine
582400ATB,C09DB02,olmesartan medoxomil and amlodipine
501601ATB,C09AA04,perindopril
501602ATB,C09AA04,perindopril
502700ATB,C09DB06,losartan and amlodipine
503000ATB,C09DB06,losartan and amlodipine
513900ATB,C09DB06,losartan and amlodipine
511500ATB,C09DB04,telmisartan and amlodipine
511600ATB,C09DB04,telmisartan and amlodipine
511700ATB,C09DB04,telmisartan and amlodipine
623100ATB,C09DB04,telmisartan and amlodipine
513600ATB,C09DA08,olmesartan medoxomil and diuretics
515201ATB,C09CA10,fimasartan
515202ATB,C09CA10,fimasartan
515203ATB,C09CA10,fimasartan
519700ATB,C09DX03,"olmesartan medoxomil, amlodipine and hydrochlorothiazide"
519800ATB,C09DX03,"olmesartan medoxomil, amlodipine and hydrochlorothiazide"
520000ATB,C09DX03,"olmesartan medoxomil, amlodipine and hydrochlorothiazide"
521200ATB,C09DB04,telmisartan and amlodipine
521300ATB,C09DB04,telmisartan and amlodipine
521400ATB,C09DB04,telmisartan and amlodipine
644800ATB,C09DB04,telmisartan and amlodipine
522000ATB,C09DA10,fimasartan and diuretics
526800ATB,C09DA10,fimasartan and diuretics
522200ATB,C09DB08,valsartan and lercanidipine
522300ATB,C09DB08,valsartan and lercanidipine
522400ATB,C09DB08,valsartan and lercanidipine
522600ATB,C09DB01,valsartan and amlodipine
522700ATB,C09DB01,valsartan and amlodipine
522800ATB,C09DB01,valsartan and amlodipine
522900ATB,C09DB01,valsartan and amlodipine
523000ATB,C09DB01,valsartan and amlodipine
523100ATB,C09DB01,valsartan and amlodipine
523200ATB,C09DB01,valsartan and amlodipine
523300ATB,C09DB01,valsartan and amlodipine
523400ATB,C09DB01,valsartan and amlodipine
547800ATB,C09DB02,olmesartan medoxomil and amlodipine
547900ATB,C09DB02,olmesartan medoxomil and amlodipine
548000ATB,C09DB02,olmesartan medoxomil and amlodipine
631300ATB,C09DB02,olmesartan medoxomil and amlodipine
553301ATB,C01CE,Phosphodiesterase inhibitors
556200ATB,C09BA04,perindopril and diuretics
564701ATB,C02KX02,ambrisentan
564702ATB,C02KX02,ambrisentan
629400ATB,C09DB02,olmesartan medoxomil and amlodipine
629500ATB,C09DB02,olmesartan medoxomil and amlodipine
629600ATB,C09DB02,olmesartan medoxomil and amlodipine
632201ATB,C02KX04,macitentan
632800ATB,C09DB02,olmesartan medoxomil and amlodipine
632900ATB,C09DB02,olmesartan medoxomil and amlodipine
633000ATB,C09DB02,olmesartan medoxomil and amlodipine
637400ATB,C09DB06,losartan and amlodipine
637500ATB,C09DB06,losartan and amlodipine
637600ATB,C09DB06,losartan and amlodipine
651900ATB,C09DB09,fimasartan and amlodipine
652000ATB,C09DB09,fimasartan and amlodipine
652100ATB,C09DB09,fimasartan and amlodipine
652700ATB,C09DB09,fimasartan and amlodipine
652301ATB,B01AC27,selexipag
652302ATB,B01AC27,selexipag
652303ATB,B01AC27,selexipag
652304ATB,B01AC27,selexipag
652900ATB,C09DB07,candesartan and amlodipine
653000ATB,C09DB07,candesartan and amlodipine
653100ATB,C09DB07,candesartan and amlodipine
662402ATB,C09CA09,azilsartan medoxomil
662403ATB,C09CA09,azilsartan medoxomil
662800ATB,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
662900ATB,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
663000ATB,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
663500ATB,C09DX08,"telmisartan, amlodipine and hydrochlorothiazide"
663600ATB,C09DX08,"telmisartan, amlodipine and hydrochlorothiazide"
663700ATB,C09DX08,"telmisartan, amlodipine and hydrochlorothiazide"
663800ATB,C09DX08,"telmisartan, amlodipine and hydrochlorothiazide"
673500ATB,C09DA09,azilsartan medoxomil and diuretics
673600ATB,C09DA09,azilsartan medoxomil and diuretics
682700ATB,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
682800ATB,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
682900ATB,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
697300ATB,C09DB04,telmisartan and amlodipine
697400ATB,C09DB04,telmisartan and amlodipine
697500ATB,C09DB04,telmisartan and amlodipine
697600ATB,C09DB04,telmisartan and amlodipine
701401ATB,C08CA,Dihydropyridine derivatives
701402ATB,C08CA,Dihydropyridine derivatives
707500ATB,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
707600ATB,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
707700ATB,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
710700ATB,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
709000ATB,C09DA01,losartan and diuretics
709100ATB,C09DA01,losartan and diuretics
721100ATB,C09DA01,losartan and diuretics
716100ATB,C09DB09,fimasartan and amlodipine
717500ATB,C09DB09,fimasartan and amlodipine
728200ATB,C09DB05,irbesartan and amlodipine
728300ATB,C09DB05,irbesartan and amlodipine
728400ATB,C09DB05,irbesartan and amlodipine
146602ACH,C05CA03,diosmin
146603ATB,C05CA03,diosmin
163601ATB,C05CA53,"diosmin, combinations"
478801ATB,C05CX02,naftazone
195601ATB,C01CA17,midodrine
145701ACR,C08DB01,diltiazem
145703ACR,C08DB01,diltiazem
145706ATB,C08DB01,diltiazem
145707ACR,C08DB01,diltiazem
145707ATR,C08DB01,diltiazem
160501ACH,N07CA03,flunarizine
178403ACR,C01DA08,isosorbide dinitrate
178406ACR,C01DA08,isosorbide dinitrate
178407ATR,C01DA08,isosorbide dinitrate
178501ATB,C01DA14,isosorbide mononitrate
178502ATB,C01DA14,isosorbide mononitrate
178503ACR,C01DA14,isosorbide mononitrate
178504ATR,C01DA14,isosorbide mononitrate
178506ATR,C01DA14,isosorbide mononitrate
197001ATB,C01DX12,molsidomine
197002ATB,C01DX12,molsidomine
198601ACH,C04AX21,naftidrofuryl
198601ATB,C04AX21,naftidrofuryl
201301ATB,C01DX16,nicorandil
201405ATR,C08CA05,nifedipine
201409ATR,C08CA05,nifedipine
201901ATB,C08CA06,nimodipine
202602ATL,C01DA02,glyceryl trinitrate
244501ATB,C01EB15,trimetazidine
244502ATR,C01EB15,trimetazidine
247603ATR,C08DA01,verapamil
247605ATR,C08DA01,verapamil
247606ATB,C08DA01,verapamil
247607ATB,C08DA01,verapamil
356202ATR,C08CA07,nisoldipine
356203ATR,C08CA07,nisoldipine
441201ATB,C08CA,Dihydropyridine derivatives
441202ATB,C08CA,Dihydropyridine derivatives
528201ATR,C08CA05,nifedipine
102201ACH,C10AD06,acipimox
111501ATB,C10AA05,atorvastatin
111502ATB,C10AA05,atorvastatin
111503ATB,C10AA05,atorvastatin
111504ATB,C10AA05,atorvastatin
117101ATB,C10AB02,bezafibrate
117102ATR,C10AB02,bezafibrate
136901ATB,B01AC04,clopidogrel
136902ATB,B01AC04,clopidogrel
157702ACR,C10AB05,fenofibrate
157704ATB,C10AB05,fenofibrate
162403ATR,C10AA04,fluvastatin
165001ACH,C10AB04,gemfibrozil
185801ATB,C10AA02,lovastatin
194901ACH,C10AB05,fenofibrate
194902ACH,C10AB05,fenofibrate
194930ACH,C10AB05,fenofibrate
194930ATB,C10AB05,fenofibrate
216601ATB,C10AA03,pravastatin
216602ATB,C10AA03,pravastatin
216603ATB,C10AA03,pravastatin
216604ATB,C10AA03,pravastatin
227801ATB,C10AA01,simvastatin
227802ATB,C10AA01,simvastatin
227806ATB,C10AA01,simvastatin
454001ATB,C10AA07,rosuvastatin
454001ATD,C10AA07,rosuvastatin
454002ATB,C10AA07,rosuvastatin
454002ATD,C10AA07,rosuvastatin
454003ATB,C10AA07,rosuvastatin
454003ATD,C10AA07,rosuvastatin
454005ATB,C10AA07,rosuvastatin
462201ATB,C10AX09,ezetimibe
470901ATB,C10AA08,pitavastatin
470902ATB,C10AA08,pitavastatin
470903ATB,C10AA08,pitavastatin
471000ATB,C10BA02,simvastatin and ezetimibe
471100ATB,C10BA02,simvastatin and ezetimibe
507800ATB,C10BA02,simvastatin and ezetimibe
492501ATB,B01AC04,clopidogrel
495201ATB,B01AC04,clopidogrel
498801ATB,B01AC04,clopidogrel
498900ATB,B01AC30,combinations
501501ATB,B01AC04,clopidogrel
502201ATB,C10AA05,atorvastatin
502202ATB,C10AA05,atorvastatin
502203ATB,C10AA05,atorvastatin
502204ATB,C10AA05,atorvastatin
517900ACE,B01AC30,combinations
517900ATE,B01AC30,combinations
667500ACE,B01AC30,combinations
519300ACH,C10BA03,pravastatin and fenofibrate
520301ACH,C10AB05,fenofibrate
520302ATE,C10AB05,fenofibrate
597301ATB,B01AC22,prasugrel
597302ATB,B01AC22,prasugrel
615901ATB,B01AC24,ticagrelor
615902ATB,B01AC24,ticagrelor
633800ATB,C10BA05,atorvastatin and ezetimibe
633900ATB,C10BA05,atorvastatin and ezetimibe
634600ATB,C10BA05,atorvastatin and ezetimibe
634800ATB,C10BA05,atorvastatin and ezetimibe
640700ATB,C10BA06,rosuvastatin and ezetimibe
640800ATB,C10BA06,rosuvastatin and ezetimibe
640900ATB,C10BA06,rosuvastatin and ezetimibe
701100ATB,C10BA06,rosuvastatin and ezetimibe
642301ACR,C10AB11,choline fenofibrate
642301ATR,C10AB11,choline fenofibrate
663400ACS,C10BA07,rosuvastatin and omega-3 fatty acids
679300ACH,C10BA,Combinations of various lipid modifying agents
679401ACS,C10AX06,omega-3-triglycerides incl. other esters and acids
679402ACS,C10AX06,omega-3-triglycerides incl. other esters and acids
679403ACS,C10AX06,omega-3-triglycerides incl. other esters and acids
694000ACS,C10BA08,atorvastatin and omega-3 fatty acids
711200ACS,C10BA08,atorvastatin and omega-3 fatty acids
699400ATB,C10BA,Combinations of various lipid modifying agents
699500ATB,C10BA,Combinations of various lipid modifying agents
702800ATB,C10BA,Combinations of various lipid modifying agents
721300ATB,C10BA05,atorvastatin and ezetimibe
101601ATB,N06BX12,acetylcarnitine
111001ACE,B01AC06,acetylsalicylic acid
111001ATE,B01AC06,acetylsalicylic acid
117901ATB,C07AB07,bisoprolol
117902ATB,C07AB07,bisoprolol
121701ATB,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
124531ALQ,A16AA01,levocarnitine
124503ATB,A16AA01,levocarnitine
124535ALQ,A16AA01,levocarnitine
129101ATB,C07AB08,celiprolol
148101ATB,C05BX01,calcium dobesilate
148103ATB,C05BX01,calcium dobesilate
165301ATB,N06DX02,Ginkgo folium
165303ATB,N06DX02,Ginkgo folium
165305ATB,N06DX02,Ginkgo folium
165310ATB,N06DX02,Ginkgo folium
172701ACR,C04AX,Other peripheral vasodilators
173201ATB,C04AX28,ifenprodil
179303ATE,C04AF01,kallidinogenase
184101ATB,B01AC28,limaprost
193802ATB,C07AB02,metoprolol
198301ATB,C07AA12,nadolol
201201ATB,C04AE02,nicergoline
201203ATB,C04AE02,nicergoline
201204ATB,C04AE02,nicergoline
210802ATR,C04AD03,pentoxifylline
215430ASS,V03AE01,polystyrene sulfonate
215432ASS,V03AE01,polystyrene sulfonate
215402ACM,V03AE01,polystyrene sulfonate
215402AGN,V03AE01,polystyrene sulfonate
215402APD,V03AE01,polystyrene sulfonate
244101ACH,B01AC18,triflusal
244102ACH,B01AC18,triflusal
248901ATB,C05CX,Other capillary stabilizing agents
248902ATB,C05CX,Other capillary stabilizing agents
461601ATB,N06BX06,citicoline
472300ATB,C10BX03,atorvastatin and amlodipine
472400ATB,C10BX03,atorvastatin and amlodipine
472500ATB,C10BX03,atorvastatin and amlodipine
518900ATB,C10BX03,atorvastatin and amlodipine
487102ATB,V03AE03,lanthanum carbonate
487103ATB,V03AE03,lanthanum carbonate
487104APD,V03AE03,lanthanum carbonate
489700ACR,B01AC30,combinations
495401ACH,C05CX,Other capillary stabilizing agents
517701APD,V03AE02,sevelamer
517701ATB,V03AE02,sevelamer
524000ATB,C10BX,Lipid modifying agents in combination with other drugs
524100ATB,C10BX,Lipid modifying agents in combination with other drugs
527000ATB,C10BX,Lipid modifying agents in combination with other drugs
527100ATB,C10BX,Lipid modifying agents in combination with other drugs
525000ATB,C10BX10,rosuvastatin and valsartan
525100ATB,C10BX10,rosuvastatin and valsartan
525200ATB,C10BX10,rosuvastatin and valsartan
525300ATB,C10BX10,rosuvastatin and valsartan
629700ATB,C10BX10,rosuvastatin and valsartan
629800ATB,C10BX10,rosuvastatin and valsartan
526300ATB,C10BX,Lipid modifying agents in combination with other drugs
526400ATB,C10BX,Lipid modifying agents in combination with other drugs
526500ATB,C10BX,Lipid modifying agents in combination with other drugs
526900ATB,C10BX,Lipid modifying agents in combination with other drugs
644100ATB,C10BX,Lipid modifying agents in combination with other drugs
644200ATB,C10BX,Lipid modifying agents in combination with other drugs
653200ATB,C10BX,Lipid modifying agents in combination with other drugs
550401ATB,C01EB17,ivabradine
550402ATB,C01EB17,ivabradine
614500ATB,C10BX03,atorvastatin and amlodipine
616501ATB,C03XA01,tolvaptan
616502ATB,C03XA01,tolvaptan
616503ATB,C03XA01,tolvaptan
616504ATB,C03XA01,tolvaptan
629900ATB,C10BX20,rosuvastatin and telmisartan
630000ATB,C10BX20,rosuvastatin and telmisartan
630100ATB,C10BX20,rosuvastatin and telmisartan
630200ATB,C10BX20,rosuvastatin and telmisartan
631600ATB,C10BX20,rosuvastatin and telmisartan
631700ATB,C10BX20,rosuvastatin and telmisartan
634900ATB,C10BX,Lipid modifying agents in combination with other drugs
635000ATB,C10BX,Lipid modifying agents in combination with other drugs
635100ATB,C10BX,Lipid modifying agents in combination with other drugs
635200ATB,C10BX,Lipid modifying agents in combination with other drugs
651401ATB,C09DX04,valsartan and sacubitril
651402ATB,C09DX04,valsartan and sacubitril
651403ATB,C09DX04,valsartan and sacubitril
654700ATB,C10BX16,rosuvastatin and fimasartan
654800ATB,C10BX16,rosuvastatin and fimasartan
654900ATB,C10BX16,rosuvastatin and fimasartan
655000ATB,C10BX16,rosuvastatin and fimasartan
661800ATB,C10BX,Lipid modifying agents in combination with other drugs
661900ATB,C10BX,Lipid modifying agents in combination with other drugs
662000ATB,C10BX,Lipid modifying agents in combination with other drugs
662100ATB,C10BX,Lipid modifying agents in combination with other drugs
673700ATB,C10BX,Lipid modifying agents in combination with other drugs
663900ATB,C10BX,Lipid modifying agents in combination with other drugs
664000ATB,C10BX,Lipid modifying agents in combination with other drugs
664100ATB,C10BX,Lipid modifying agents in combination with other drugs
664200ATB,C10BX,Lipid modifying agents in combination with other drugs
664300ATB,C10BX,Lipid modifying agents in combination with other drugs
664400ATB,C10BX,Lipid modifying agents in combination with other drugs
670301ATB,V03AE05,sucroferric oxyhydroxide
671200ATB,C10BX,Lipid modifying agents in combination with other drugs
671300ATB,C10BX,Lipid modifying agents in combination with other drugs
671400ATB,C10BX,Lipid modifying agents in combination with other drugs
671500ATB,C10BX,Lipid modifying agents in combination with other drugs
671700ATB,C10BX,Lipid modifying agents in combination with other drugs
677000ATB,C10BX,Lipid modifying agents in combination with other drugs
677100ATB,C10BX,Lipid modifying agents in combination with other drugs
673900ATB,C10BX09,rosuvastatin and amlodipine
674000ATB,C10BX09,rosuvastatin and amlodipine
674100ATB,C10BX09,rosuvastatin and amlodipine
678600ATB,C10BX09,rosuvastatin and amlodipine
677300ATB,C10BX,Lipid modifying agents in combination with other drugs
677400ATB,C10BX,Lipid modifying agents in combination with other drugs
686800ATB,C10BX,Lipid modifying agents in combination with other drugs
686900ATB,C10BX,Lipid modifying agents in combination with other drugs
679500ATB,C10BX,Lipid modifying agents in combination with other drugs
679600ATB,C10BX,Lipid modifying agents in combination with other drugs
679700ATB,C10BX,Lipid modifying agents in combination with other drugs
680300ATB,C10BX,Lipid modifying agents in combination with other drugs
691400ATB,C10BX,Lipid modifying agents in combination with other drugs
691500ATB,C10BX,Lipid modifying agents in combination with other drugs
683000ATB,C10BX,Lipid modifying agents in combination with other drugs
683100ATB,C10BX,Lipid modifying agents in combination with other drugs
683200ATB,C10BX,Lipid modifying agents in combination with other drugs
691200ATB,C10BX,Lipid modifying agents in combination with other drugs
693000ATB,C10BX,Lipid modifying agents in combination with other drugs
708900ATB,C10BX,Lipid modifying agents in combination with other drugs
728100ATB,C10BX,Lipid modifying agents in combination with other drugs
684300ATB,C10BX,Lipid modifying agents in combination with other drugs
684400ATB,C10BX,Lipid modifying agents in combination with other drugs
684500ATB,C10BX,Lipid modifying agents in combination with other drugs
684600ATB,C10BX,Lipid modifying agents in combination with other drugs
684700ATB,C10BX,Lipid modifying agents in combination with other drugs
688100ATB,C10BX,Lipid modifying agents in combination with other drugs
688200ATB,C10BX,Lipid modifying agents in combination with other drugs
688300ATB,C10BX,Lipid modifying agents in combination with other drugs
688400ATB,C10BX,Lipid modifying agents in combination with other drugs
719800ATB,C10BX,Lipid modifying agents in combination with other drugs
719900ATB,C10BX,Lipid modifying agents in combination with other drugs
690400ATB,C10BX,Lipid modifying agents in combination with other drugs
690500ATB,C10BX,Lipid modifying agents in combination with other drugs
690600ATB,C10BX,Lipid modifying agents in combination with other drugs
690700ATB,C10BX,Lipid modifying agents in combination with other drugs
692000ATB,C10BX,Lipid modifying agents in combination with other drugs
692100ATB,C10BX,Lipid modifying agents in combination with other drugs
692200ATB,C10BX,Lipid modifying agents in combination with other drugs
692300ATB,C10BX,Lipid modifying agents in combination with other drugs
692400ATB,C10BX,Lipid modifying agents in combination with other drugs
692500ATB,C10BX,Lipid modifying agents in combination with other drugs
701700ATB,C10BX,Lipid modifying agents in combination with other drugs
701800ATB,C10BX,Lipid modifying agents in combination with other drugs
701900ATB,C10BX,Lipid modifying agents in combination with other drugs
702100ATB,C10BX,Lipid modifying agents in combination with other drugs
702200ATB,C10BX,Lipid modifying agents in combination with other drugs
702000ATB,C10BX,Lipid modifying agents in combination with other drugs
704001ATB,C01DX22,vericiguat
704002ATB,C01DX22,vericiguat
704003ATB,C01DX22,vericiguat
706300ATB,C10BX19,"atorvastatin, amlodipine and candesartan"
706400ATB,C10BX19,"atorvastatin, amlodipine and candesartan"
706500ATB,C10BX19,"atorvastatin, amlodipine and candesartan"
706600ATB,C10BX19,"atorvastatin, amlodipine and candesartan"
706700ATB,C10BX19,"atorvastatin, amlodipine and candesartan"
709700ATB,C10BX,Lipid modifying agents in combination with other drugs
709800ATB,C10BX,Lipid modifying agents in combination with other drugs
709900ATB,C10BX,Lipid modifying agents in combination with other drugs
710000ATB,C10BX,Lipid modifying agents in combination with other drugs
710100ATB,C10BX,Lipid modifying agents in combination with other drugs
710200ATB,C10BX,Lipid modifying agents in combination with other drugs
710501ACH,V03AE08,ferric citrate
712200ATB,C10BX,Lipid modifying agents in combination with other drugs
712300ATB,C10BX,Lipid modifying agents in combination with other drugs
712400ATB,C10BX,Lipid modifying agents in combination with other drugs
712500ATB,C10BX,Lipid modifying agents in combination with other drugs
722700ATB,C10BX,Lipid modifying agents in combination with other drugs
722800ATB,C10BX,Lipid modifying agents in combination with other drugs
727600ATB,C10BX,Lipid modifying agents in combination with other drugs
730100ATB,C10BX,Lipid modifying agents in combination with other drugs
726400ATB,C10BX,Lipid modifying agents in combination with other drugs
726500ATB,C10BX,Lipid modifying agents in combination with other drugs
729201ATB,C03DA05,finerenone
729202ATB,C03DA05,finerenone
728500ACE,B01AC56,"acetylsalicylic acid, combinations with proton pump inhibitors"
516800ALQ,R07AB,Respiratory stimulants
559700ALQ,R07AB,Respiratory stimulants
101830AGN,R05CB01,acetylcysteine
101842AGN,R05CB01,acetylcysteine
101843AGN,R05CB01,acetylcysteine
101839ASY,R05CB01,acetylcysteine
101801ACH,R05CB01,acetylcysteine
101804ACH,R05CB01,acetylcysteine
101807ATB,R05CB01,acetylcysteine
106331ASY,R05CB06,ambroxol
106301ATB,R05CB06,ambroxol
115801ACS,R05DB01,benzonatate
118601ATB,R05CB02,bromhexine
123840ASY,R05CB03,carbocisteine
123841ASY,R05CB03,carbocisteine
123843ASY,R05CB03,carbocisteine
123844ASY,R05CB03,carbocisteine
123801ACH,R05CB03,carbocisteine
123804ACH,R05CB03,carbocisteine
150034ASY,R05CA12,Hederae helicis folium
150043ASY,R05CA12,Hederae helicis folium
150045ASY,R05CA12,Hederae helicis folium
150033ASY,R05CA12,Hederae helicis folium
150044ASY,R05CA12,Hederae helicis folium
150046ASY,R05CA12,Hederae helicis folium
150007ATB,R05CA12,Hederae helicis folium
153130ASY,R05CB15,erdosteine
153101ACH,R05CB15,erdosteine
153101ATB,R05CB15,erdosteine
157901ATB,R03CC04,fenoterol
163130ASY,R03CC15,formoterol
163131ASY,R03CC15,formoterol
163101ATB,R03CC15,formoterol
163104ATB,R03CC15,formoterol
180140ASY,R06AX17,ketotifen
180142ASY,R06AX17,ketotifen
180143ASY,R06AX17,ketotifen
180151ASY,R06AX17,ketotifen
180101ATB,R06AX17,ketotifen
183131ASY,R05DB27,levodropropizine
183135ASY,R05DB27,levodropropizine
183102ACH,R05DB27,levodropropizine
183102ATB,R05DB27,levodropropizine
183103ATR,R05DB27,levodropropizine
192401ATB,R05CB,Mucolytics
207701ATB,R03DX,Other systemic drugs for obstructive airway diseases
218301ATB,R03CC08,procaterol
218302ATB,R03CC08,procaterol
228201ACH,R05CB07,sobrerol
228202ACH,R05CB07,sobrerol
237031ASY,R03DA04,theophylline
237001ACR,R03DA04,theophylline
237003ACR,R03DA04,theophylline
242601ACH,R06AX,Other antihistamines for systemic use
532000ASY,R03CC63,clenbuterol and ambroxol
532100ASY,R03CC63,clenbuterol and ambroxol
264800ATB,R03CC63,clenbuterol and ambroxol
267400ATB,R05,COUGH AND COLD PREPARATIONS
493200ATB,R05,COUGH AND COLD PREPARATIONS
532700ASY,R05FA02,opium derivatives and expectorants
532800ASY,R05FA02,opium derivatives and expectorants
268000ATB,R05FA02,opium derivatives and expectorants
429030ASS,R05DB21,cloperastine
429031ASS,R05DB21,cloperastine
439101ATB,R03DA11,doxofylline
503301ACH,R03DA07,theobromine
532500ASY,R05FA02,opium derivatives and expectorants
532600ASY,R05FA02,opium derivatives and expectorants
677200ASY,R05FA02,opium derivatives and expectorants
532900ASY,R05CB10,combinations
533000ASY,R05CB10,combinations
684000ASY,R05CB10,combinations
533400ASY,R05CA,Expectorants
533500ASY,R05CA,Expectorants
533600ASY,R05CA,Expectorants
690300ASY,R05FA02,opium derivatives and expectorants
100701ACH,R03DA,Xanthines
100702ATR,R03DA,Xanthines
113601ATB,R03CC12,bambuterol
220902ATB,R01BA02,pseudoephedrine
443600ATB,R05CB10,combinations
490331ASY,R07AX,Other respiratory system products
490335ASY,R07AX,Other respiratory system products
490336ASY,R07AX,Other respiratory system products
490303ATB,R07AX,Other respiratory system products
614701ATB,R03DX07,roflumilast
620301ATB,L04AX05,pirfenidone
620302ATB,L04AX05,pirfenidone
620303ATB,L04AX05,pirfenidone
683700ASY,R07AX,Other respiratory system products
687100ASY,R07AX,Other respiratory system products
699901ATB,R07AX,Other respiratory system products
149702ACH,A01AB22,doxycycline
109931ALQ,A02BX13,alginic acid
109932ALQ,A02BX13,alginic acid
109935ALQ,A02BX13,alginic acid
109937ALQ,A02BX13,alginic acid
109903ATB,A02BX13,alginic acid
115001ACH,A02X,OTHER DRUGS FOR ACID RELATED DISORDERS
118101ASS,A02A,ANTACIDS
133301ATB,A02BA01,cimetidine
133302ATB,A02BA01,cimetidine
133303ATB,A02BA01,cimetidine
157301ATB,A02BA03,famotidine
157301ATD,A02BA03,famotidine
157302ATB,A02BA03,famotidine
157302ATD,A02BA03,famotidine
157303ATB,A02BA03,famotidine
167003ATB,A03AB02,glycopyrronium bromide
181301ACE,A02BC03,lansoprazole
181301ATD,A02BC03,lansoprazole
181302ACE,A02BC03,lansoprazole
181302ATD,A02BC03,lansoprazole
181302ATE,A02BC03,lansoprazole
196301ATB,A02BB01,misoprostol
196302ATB,A02BB01,misoprostol
202701ACH,A02BA04,nizatidine
202701ATB,A02BA04,nizatidine
202704ATB,A02BA04,nizatidine
204401ACE,A02BC01,omeprazole
204401ATE,A02BC01,omeprazole
204402ATE,A02BC01,omeprazole
204403ATE,A02BC01,omeprazole
208801ATE,A02BC02,pantoprazole
208802ATE,A02BC02,pantoprazole
222201ATE,A02BC04,rabeprazole
222202ATE,A02BC04,rabeprazole
222203ATE,A02BC04,rabeprazole
222801ATB,A02BA02,ranitidine
222901ATB,A02BX14,rebamipide
222902ATR,A02BX14,rebamipide
225201ACR,A02BA06,roxatidine
225201ATR,A02BA06,roxatidine
225202ACR,A02BA06,roxatidine
225202ATR,A02BA06,roxatidine
233102ATB,A02BX08,sulglicotide
235401ACH,A02BX15,teprenone
244802ATB,A02BX05,bismuth subcitrate
367201ACH,A02BC05,esomeprazole
367201ACR,A02BC05,esomeprazole
367201ATB,A02BC05,esomeprazole
367202ACH,A02BC05,esomeprazole
367202ACR,A02BC05,esomeprazole
367202ATB,A02BC05,esomeprazole
367203ACR,A02BC05,esomeprazole
367203ATB,A02BC05,esomeprazole
430101ATB,A02X,OTHER DRUGS FOR ACID RELATED DISORDERS
430102ATB,A02X,OTHER DRUGS FOR ACID RELATED DISORDERS
488601ATB,A02BC,Proton pump inhibitors
489302ATB,A02BA08,lafutidine
494201ATB,A02BX16,irsogladine
494201ATD,A02BX16,irsogladine
494202ATB,A02BX16,irsogladine
